time,open,high,low,close,tick_volume,spread,real_volume
1704157200,2064.98,2066.54,2063.82,2065.7,942,20,0
1704158100,2065.7,2066.32,2065.07,2065.11,979,20,0
1704159000,2065.11,2065.48,2064.07,2064.52,1191,20,0
1704159900,2064.47,2064.56,2063.14,2063.66,973,20,0
1704160800,2063.68,2064.99,2063.31,2064.02,1071,20,0
1704161700,2064.05,2064.5,2062.17,2063.3,1413,20,0
1704162600,2063.41,2064.73,2062.8,2064.52,903,20,0
1704163500,2064.5,2065.94,2064.36,2065.45,1446,20,0
1704164400,2065.43,2069.71,2064.88,2069.23,3798,20,0
1704165300,2069.21,2069.97,2067.32,2068.52,2229,20,0
1704166200,2068.49,2068.59,2066.85,2068.17,2235,20,0
1704167100,2068.18,2069.18,2066.22,2066.53,1575,20,0
1704168000,2066.5,2066.86,2063.89,2064.62,1945,20,0
1704168900,2064.62,2067.12,2064.52,2066.72,1458,20,0
1704169800,2066.68,2068.44,2065.8,2067.44,2134,20,0
1704170700,2067.44,2068.31,2067.28,2067.83,1146,20,0
1704171600,2067.83,2069.56,2066.38,2068.99,1604,20,0
1704172500,2068.97,2070.08,2068.97,2069.72,1324,20,0
1704173400,2069.76,2070.03,2069.35,2069.89,988,20,0
1704174300,2069.87,2070.45,2068.53,2069.62,1105,20,0
1704175200,2069.65,2070.54,2069.26,2070.28,823,20,0
1704176100,2070.38,2070.74,2068.84,2069.48,935,20,0
1704177000,2069.5,2070.48,2069.48,2069.92,687,20,0
1704177900,2069.95,2070.32,2068.82,2069.62,1008,20,0
1704178800,2069.67,2071.77,2069.41,2071.67,1322,20,0
1704179700,2071.69,2071.92,2070.69,2071.46,1467,20,0
1704180600,2071.56,2072.28,2070.73,2072.04,1736,20,0
1704181500,2072.14,2074.95,2071.87,2074.34,2835,20,0
1704182400,2074.36,2075.02,2072.85,2074.62,2499,20,0
1704183300,2074.58,2076.83,2074.11,2075.87,2509,19,0
1704184200,2075.88,2076.69,2074.7,2075.1,4913,19,0
1704185100,2075.0,2075.31,2073.72,2074.04,3122,19,0
1704186000,2074.01,2075.85,2073.28,2075.4,4913,19,0
1704186900,2075.41,2076.51,2074.42,2075.38,5308,16,0
1704187800,2075.38,2075.78,2074.6,2075.24,3462,16,0
1704188700,2075.24,2075.48,2073.03,2073.27,4798,16,0
1704189600,2073.26,2074.6,2072.21,2074.03,6532,16,0
1704190500,2074.03,2074.24,2072.15,2072.76,4541,16,0
1704191400,2072.75,2074.5,2071.7,2073.98,5788,16,0
1704192300,2073.98,2074.07,2072.28,2073.31,3999,16,0
1704193200,2073.3,2075.64,2073.17,2074.63,4393,16,0
1704194100,2074.63,2075.64,2073.91,2074.65,4392,16,0
1704195000,2074.65,2078.99,2074.54,2078.29,5127,16,0
1704195900,2078.26,2078.94,2076.66,2077.14,4786,16,0
1704196800,2077.14,2077.87,2074.46,2075.06,4252,16,0
1704197700,2075.05,2075.43,2073.35,2074.68,4434,16,0
1704198600,2074.68,2076.15,2074.28,2075.74,3907,16,0
1704199500,2075.72,2076.66,2075.33,2075.98,3842,16,0
1704200400,2075.98,2076.27,2073.79,2074.09,4372,16,0
1704201300,2073.98,2075.97,2072.74,2075.02,5599,16,0
1704202200,2075.03,2075.09,2068.31,2068.89,6470,16,0
1704203100,2068.9,2070.39,2068.18,2069.33,5799,16,0
1704204000,2069.13,2069.52,2066.16,2066.76,6080,16,0
1704204900,2066.76,2067.19,2064.93,2066.11,5651,16,0
1704205800,2066.11,2068.42,2065.54,2067.28,5291,16,0
1704206700,2067.28,2068.21,2066.59,2067.91,4521,16,0
1704207600,2067.9,2068.87,2064.76,2065.68,7413,16,0
1704208500,2065.68,2068.7,2065.29,2067.17,8338,16,0
1704209400,2067.19,2071.18,2066.85,2069.66,9393,16,0
1704210300,2069.65,2069.82,2064.78,2066.37,8549,16,0
1704211200,2066.38,2067.4,2064.81,2065.31,7663,16,0
1704212100,2065.31,2068.01,2064.52,2066.03,7259,16,0
1704213000,2065.99,2069.93,2062.04,2065.88,13762,16,0
1704213900,2065.86,2070.52,2065.74,2070.29,15015,16,0
1704214800,2070.26,2070.79,2066.45,2067.24,10586,16,0
1704215700,2067.26,2067.91,2063.9,2064.82,9510,16,0
1704216600,2064.79,2065.35,2055.82,2058.95,15676,16,0
1704217500,2058.85,2059.86,2057.19,2059.32,10077,16,0
1704218400,2059.35,2067.7,2059.02,2066.44,11619,16,0
1704219300,2066.44,2067.01,2064.68,2065.43,7587,16,0
1704220200,2065.42,2065.71,2064.0,2065.03,6268,16,0
